"sentiment","content"
"fun","that made me laugh.Sorry Grets, but you are not going to the Pool Room."
"fun","i'm herehaha"
"fun","believe it or not, SPOTTED DICK is an english dishhttp://tinyurl.com/aqzg"
"fun","Design galore! Yayyyyyyyprogress beyond my imagination. Now...to get my flattie to sort out the Internet to send orders out!"
"fun","I will later today since I have a planning for today"
"fun","me and my friends are just sitting here and searching for pictures on googlehaha, my friend found pictures of her father! haha"
"fun","Absolutely"
"fun","For all you Lord of the Rings fans. You MUST see this min fan film that just released. It's awesome!http://is.gd/wvrx Watch in HD"
"fun","Updating my iPod and downloading new songs."
"fun","downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol"
"fun","today Jon Doe plays at the Moho. ia m exciteditï¿½s gonna be funny.. but before i have to carry all the equipment and do the backline"
"fun","Thanks for the follow Tove!"
"fun","hahaha yes yes, of coursei look after them when you and jack need alone time ;D"
"fun","my brain is gonna explode, a minute from now ) it is full of numbers @-) this should be the cliiimb. :-j i'm climbing the: mt. numbers."
"fun","You're getting new fans all the time. I wasn't one until November"
"fun","LoL. I don't even know what intezone-football-competition means... Good luck"
"fun","yes I do! I'll try posting some pics when I can"
"fun","i guess i'll do both since i cant really decide which one to choose"
"fun",",- mujiyipee. is anybody coming here? i can send them over hahaha. but can somebody bring JT's BSG disks? haha"
"fun","You seem nice, you're generous and you know your stuff"
"fun","has a face mask on. hehe"
"fun","just watched it on youtube and its hilarious. i laughed trough it.. seriously guys so funny.. greetings from Germany..."
"fun","Omg! Star Wars Day!May the fourth be with you everyoneThis calls for me to watch at leastfilm tonight."
"fun","heLLo tayLor.. just wanna say i've aLready votedu i thinktimes..haha"
"fun","Think of getting a job this way - only anotheryears now until you can retireor the otherway (my way)years of fun!!!"
"fun","yes, it will finish at : tonight. Still the food has been great as has been the discussion"
"fun","#momoTLV is always goodIVA will have a special price for#momoTLV guests.."
"fun","lol I like raawrrrr. Cuz I'm a vicious tiger. Rawwwwrrrr, grrrrr.lol"
"fun","it means that you are now FAMOUS. Congrats!"
"fun","but i do emily ahahha you scare me, so it would work"
"fun","lol fine by melong as its not the scary dude its all good"
"fun","we're waiting you here in Belgrade!! Can't wait!!"
"fun","star wars ............ is gay BOO??? i wanna do your job HAND IT OVERu can act as me at my high schoolLOL"
"fun","Easy, I'm trying to learnSerious and normal....two new words for me ;)"
"fun","uft im tutoring the lil sisshes so cute, even though shes an eighth grader :p"
"fun","Morning world. Hello Bank Holiday! Cold and grey and rainy here. Feel like colouring thanks toso might do that this am"
"fun","sky diving was aaaaaawwwesome!!!! kinda bored now though"
"fun","Happy Star Wars Day! May the Fourth be with you."
"fun","Good morning!!!! Yes is :am"
"fun",": heheï¿½I bet you have never looked back!weeks is a long school trip!"
"fun","is eating a delicious cheese-bread(much batter than ANYBagle)"
"fun","Ooooh, so you're the dream husband. lol =D I saw Stranthorpe on a map today and thought thought of dear Shea! lol"
"fun","yeaaaah lol, i'm just insane"
"fun","I uploaded myrandom fandom trailer to youtube, check it out in here. It's also in HDhttp://tinyurl.com/doyfl"
"fun","lol, get watching it againhehe"
"fun","ha ha, no, will be thankful i am not dragging them up a mountain today"
"fun","looking at tabs for all of the &quot;Boys Like Girls&quot; songs"
"fun","playing sudoku while mommy makes me breakfast ; lunch"
"fun","welcome back chica! hope you had a nice break"
"fun","just helping myself to some caramel digestives"
"fun","Congratulations lovely Japanese Children Happy Kodomo no hi"
"fun","YES YES YES! http://snurl.com/hbn i used YOUR song in mine"
"fun","you can put a saucepan full of water on the cooker to heat up the water...indian stylescrabbled are the best!!!!"
"fun","Thanks Emma! Plus: Squeeee! You're my first comment!!!"
"fun","cool.. look forward for frequent tweets"
"fun","Great day training and having fun"
"fun","Thanks! Am trying.. (keeping my chin up, ouch!)"
"fun","http://twitpic.com/jbn - yummm.....Very Nicee"
"fun","http://twitpic.com/jcxr -i meann look at what i just found lol"
"fun","green day are the bombxx"
"fun","hey... Your on MY mind."
"fun","waitinthe skool bus soo tired nd still soo muchdo...wantb lazy nd sleep but since I cnt ill sing all my fav songs"
"fun","lol hopefully it'll happen like next timee near the new album"
"fun","Goodnight lolsz"
"fun","think I'm gonna start writing a proper blog, can anyone recommend any good blog host thingys?"
"fun","Just sat down to play a quick hand of poker and won $k on my first hand with a flush. I'm done for today"
"fun","planted in the garden last week, ive got to check on it"
"fun","I want some....LOLI got the coffee ha ha"
"fun","i incredily love reading your tweets! they're so entertaining, keep it up."
"fun","Going home, see you at night in local time"
"fun","LOL biking is manly"
"fun","ahah oh yes, i forgot, they need to earn money.. maybe we could get them jobs as checkout chicks if twitter takes over"
"fun","trip with school! get to go see a west end show and loads more stuff, its gonna be great"
"fun","just got upWheres the sun? =O"
"fun","Something like that!"
"fun","Bom apetite"
"fun","I treat my hair so badly. It's revenge for it turning grey prematurely"
"fun","rofl rofl. Have fun"
"fun","good as, cya in melbourne"
"fun","Woo - got a fast mobile broadband connection now"
"fun","back from my nice hot showeri am wishing that brent was my older brother"
"fun","HeyDid you have a good weekend buddy?"
"fun","~ Awwwww have fun with the fam boo boo"
"fun","Doing make up for the school musical this week aaah"
"fun","haha May the th be with you! Happy Star Wars Day!"
"fun","morning erikah, how are u? Here start working about a song on my town, always a challenge"
"fun","had an eventful weekend and nice week off, looking forward to a final chill out day"
"fun","That is awesome.."
"fun","Is getting her new double yellow volkswagen beetle.happy star wars day."
"fun","working from home office today and catching up on everything except twitter"
"fun","because its like ten times better than this place xD and its so beautiful and funand they have gold coast hot dogs!! xD"
"fun","is going out for dinner... just the two of us... niceeeee"
"fun","MUAHAHAHHAHAHA...well, maybe they think I'm crazy or something. I haven't scaredyet though"
"fun","making some beats"
"fun","lol we are going to place called frosties its a soft play centre it knackers them lol, then i get peace for the gymlol"
"fun","A Don't Stop Believing remix? Sure, why not?Sacrilege? http://blip.fm/~jkpz"
"fun","wouldn't that cost quite a bit, I mean flying pizza from China? Nice fusion idea I may have to experiment"
"fun","Depends where your drinking, what your drinking, and how many mates you have. Joke fails"
"fun","Funniest desktop ever: http://mobypicture.com/?eeij this way I can see my collegue."
"fun","aww.. thanks bro!glad I got u active on twitter!"
"fun","Good morning, everyone!Just finished breakfast, and getting ready to see what this wonderful day has in store for me!"
"fun","waiting for hubby...wake up!!had entirely too much fun wit tha seester last night"
"fun","Sitting with sabbeth in first period.buhahaha we are so cool -sabbeth lmao"
"fun","nopeday off sleep time ha"
"fun","yeah, getting shows can be an interesting process.the key is following up... at least that's what i've learned so far"
"fun","Hi! Waking up, and not lazy at all. You would be proud of me,am here!!! Btw, nice colour, not burnt."
"fun","Pigs catching Swine Flu and Avian Flu, risking the development of Flying Pig Flu? Awesomely funny"
"fun","unless you're gretel killeen apparently. you did look pretty damn good"
"fun","hahahha but days off are cool when nothings openits like isolated and haha cool"
"fun","lol, of course i'm right, i'm ALWAYS right, didn'ttell you???"
"fun","what a great day for a massage! book your appointment today--"
"fun","I don't wanna work a -hour shift today! I'd rather whisper sweet-nothings into the earpiece of a lady friend's cellphone."
"fun","Played D;D on the bank holiday - was nice, got many XPAnd killed a blob. Actually, two, though the nd had tentacles."
"fun","follow me aswel !!!!!!!! if u have twitter, follow me lool !! www.twitter.com/djarkakoool"
"fun","Keen skydivers take off thousands of times in planes but rarely land in them"
"fun","guessing... Ranmiles ; gym? Superman youoxox"
"fun","Sure, its easier to login every day and make posts as an admin or mod, but ill try"
"fun","school.days !!! so exited. Amazing premier"
"fun","Good night"
"fun","Clambering about in crashed cars. Hilarious fun"
"fun","well being a retired drummer I can do my own drum roll so all you need to do is read my posts since they take a ton of timelol"
"fun","aaahhh...just woke up! feels good to sleep in on a monday!!!"
"fun","I've gotta watch out for those stealth skillz! I always forget."
"fun","crossing my fingers for ya! ; hey you'll be on my side of town!Welcome! LOL"
"fun","my pleasure... hey it was played at my going away from nz party back inlotsso it is burned into my brain"
"fun","i like yours tooi enjoy your photography. =]"
"fun","grax"
"fun","will doit's only ï¿½. on play.com, so might just buy it, it certainly looks and sounds good enough! i'm excited for it lol"
"fun","I had recommended Harney ; Sons (http://www.harney.com/) from where I order much of my tea, I think."
"fun","I was just at Sky Harbor on Friday.How are you?"
"fun","lol same here....wish there was a way to microsize everything...lol"
"fun","welcome to Twitter babes! I know what you mean...still trying to figure this out"
"fun","I like them. I mean I like what's left of them."
"fun","here I am!"
"fun","you should come to Estonia, I know some epic horses here, hehe, and a good trainer and good beaches were to ride!"
"fun","you guys are the bomb haha"
"fun","oh! La Roux is a band right?? An English electropop synth duo band ..cool!"
"fun","don't you just love the &quot;butteflies in your stomach&quot; feeling?ano man yun, kaya mo yan."
"fun","if you register now, you'll be able to buy in pre-presale next year. Saturday's gonna be mayhem on internet, wake up early girl"
"fun","Thanks! I have a Teflon liver (Being Scottish, I was raised on whisky)"
"fun","May the th be with youI couldn't resist!!"
"fun","http://twitpic.com/izu - wow, thats so cool!"
"fun","shld says.. great phone"
"fun","HeyBye Byewas fun too(robluketic live &gt; http://ustre.am/wv)"
"fun","yeahhh! u've got plenty of great fans!! And in Spain too! u should come and play a gig here!!"
"fun","wow, i can sleep with my eyes open, tis amaze *i lie*"
"fun","- Does the st show count? That would be the midnight show Thurs night/Fri morning"
"fun","lemme guess - you ranmiles at the gym, and are waking your kids up, and then going to the beach and / or recording studio?"
"fun","Lets get rich and give everyone nice sweaters and teach them how to dance..."
"fun","pilot to co-pilot baby we burnin' up/i cannot stress how much this line works."
"fun","Back from AOT last lec.. Alot of question marks on my head.. But thank God for all the tips.. Should be able to pull tru"
"fun","i'm excited about cake classtonighti'm a nerd"
"fun","I lke wearing kiddies clothes. Makes me breasticles look all big n stuff"
"fun","I love last.fm but find it a lot easier (and more content) on spotifyadd me on http://last.fm/user/ankey if you like"
"fun","YES!! REPRIEVE!! One paper pushed back until Friday! That leaves just three more pages due by :pm... not even a problem."
"fun","SQL queries to display one single deal page on OzBargain. Looks like I'll have fun optimising it!Bad bad Drupal..."
"fun","Well I'm obsessed w/all of them - but I watched the first one again last nightglorious! where can i get a wand?"
"fun","LMï¿½ï¿½oï¿½o! my job is funn"
"fun","Just wrote up tomorrow's #DWorlds show.followers get a feed soon: mine see it firsthttp://bit.ly/jLaL"
"fun","YOU'RE A BIG DAMN DEAL!!!!!!!Have fun"
"fun","Not Pretty But one hell of a shownon the less"
"fun","lmao I'm glad I'm not the only one"
"fun","shake shake shake shake shake it"
"fun","I cant WAIT to be home and snuggle with my puppies! and my Fiance"
"fun","says livejournal is being a bee-eye-tee-see-hedge. Dum dee dum, ok back to work!"
"fun","http://twitpic.com/jjdx - Soak your had in hot water (but not boiling) for about mins - it'll pull them right out"
"fun","most name brands have dairy even if it's called 'semi-sweet' or 'dark'.I'll try to get some in the HelloVeggies Store!"
"fun","someone said after wolverine they feel like watching x-men all over again. They're right! Now back to business, proposal, yippie!"
"fun","I spell my name alyson too! Aly for short! We spell it the best"
"fun","The mothers day classic went really well, despite the cold .am start"
"fun","can't wait for Daughtry's new album! Ack. Two more months!!!"
"fun","waiting for JONAS to come on"
"fun","Perfect day: flute quartets in the morning, web marketing in the afternoon with Barrie, and Star Trek in the evening"
"fun","http://twitpic.com/vuuy - thats the most colorful thing ive seen all day,wow."
"fun","Pool, alcohol, ; a cute band, couldn't ask for more on a Saturday night#fb http://twitpic.com/wrr"
"fun","/ - first sessionyay me!"
"fun","is learning how to play Waiting for Love by P!nk on acustic guitar!epic"
"fun","finished eating sushi with ladiezgetting shwasteddddddddd**"
"fun","everyone followand! they are amazing"
"fun","going to see star trak expecting noting but amazing"
"fun","Night of the cookers with my dad"
"fun","why thank you!u out tonight?"
"fun","whats going on tonight?!?!?! lets partyyyyy!"
"fun","i would like to see bacn.me added to tweetdeck as an option for a url shortenertweetdeck would be even better with #bacon"
"fun","i've been wanting it foryears LOL...that and a HD camcorder"
"fun","Yeah, I only drank a little bit anyways. It definitely was the show and not the drink!!"
"fun","girl,rain is my song forrealll!!!"
"fun","just rearranged the living room- it looks HUGE.This is what Joe and I do on a Saturday night"
"fun","thanksi make ur job a little less crappier every day!"
"fun","On my way to see star trek"
"fun","it was funAte at mas.Thanks!!Good luck w/ ur showing tomorrow."
"fun","is excited!http://plurk.com/p/stk"
"fun","check it out check it out check it out."
"fun","ahhh I'm drinking some too!! And bride wars is really good"
"fun","yeahh"
"fun","A couple of other guys did similar mods, so it may not have been mine thatsaw. I think mine's the best, but I'm biased"
"fun","Tired and gunna go to bed soon!!! First time I've been online today!!All ready for mother's day tomorow"
"fun","aww thatzbad...ud b great in new moon"
"fun","welcome aboard my friend... the fans are gonna LOVE ya here"
"fun","Off to dinner with; his fam."
"fun","Listening to Obama with one ear ; listening to music with the other"
"fun","His beard is addressed in this week's LOLs."
"fun","wweeeeooo! snl soon"
"fun","me me me!lol"
"fun","next year will be sweeet"
"fun","quite all right. cock sounds better than clock coming from a female anyway"
"fun","also check outandother wonderful causes that need our help"
"fun","My tweet is on cheaptweet.You wanna vote for mehttp://cheaptweet.com/t/syopvd"
"fun","finally get my hands on my laptop!just ate the biggest burrito de asada EVERand now im gonna get ready for the party-ooo!"
"fun","stephs grad party gr! shoved cake in her face, watchd sis bitch slap a boy, ate good foodsatisfied"
"fun","Downing a glass of ginger ale and then relishing an early evening in bed with &quot;Because I Said So&quot; on Lifetime."
"fun","MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND"
"fun","at the taste a addison w/ her fav. ppl"
"fun","Michelle,is on here. Don't u miss her being on Fox? I liked your interviews with her."
"fun","Star Trek was GREAT yet minor details needed to be worked out, but I give it a Thumbs Up, regardless!"
"fun","haha yea &quot;help&quot; (technically itz called cheating but my teacher helps us anyways so im not cheating)"
"fun","HAHAH, Did I hear MVP Chants in Atlanta's Arena?At least they get it right there, unlike at staples"
"fun","having a bath with epsom salts and listening to carrie underwood"
"fun","oh mm gee we got aerolas in the live tonite"
"fun","Sorry.I'm a squirrellist, and I only talk to black or sliver squirrels."
"fun","OHHH my bad! yes himheh heh"
"fun","just got home from work. ready for chill timeshoot me a PM. aim: pillowtalk"
"fun","animating an ad for work. One of my favorite things to do. So much so that I'm doing it on a saturday night for fun!"
"fun","after prom party tonight"
